tag,anchor,PRF,channel,data rate,preamble,TXpower,PRR,Average distance error anchor,Stde distance error anchor,energy consumption,packet duration,Average RSP tag,Stde RSP tag,Average RSP anchor,Stde RSP anchor,Average LOS indication tag,Stde LOS indication tag,Average LOS indication anchor,Stde LOS indication anchor,Mean noise CIR tag,Mean noise CIR anchor,startindex,stopindex
1,3,64,7,110,128,0.0,0.9798387096774194,83.64620910196807,234.81887954361895,147.0,4.8946609658620694,-917245104.3911923,1063352739.1677938,-51871692.925625615,330099851.9346033,-917244994.7051823,1063352738.5230694,-51871585.44864251,330099851.62409806,22.510121457489877,23.294685990338163,18291.0,18784.0
1,3,64,7,110,128,8.5,1.0,135.9270506856916,83.74019289140084,147.0,4.8946609658620694,-101.47824206349206,1.3937738680877623,-98.4043238095238,0.87103074479701,0.7688630952380958,1.1095551914035282,1.8795952380952374,0.9423159369537036,23.00793650793651,23.552380952380954,12138.0,12641.0
1,3,64,7,110,1024,0.0,1.0,290.32652381066686,170.12667623274413,147.0,5.806457445862068,-98.54987896825396,0.3505404620594913,-96.52407380952383,0.623072808626259,4.989869047619048,1.0748511028761891,5.287711904761904,1.1122611450331883,60.51587301587302,61.695238095238096,18785.0,19288.0
1,3,64,7,110,1024,8.5,1.0,318.38009714681345,96.72911654391395,147.0,5.806457445862068,-90.09107738095238,0.7978927689482131,-88.6685642857143,0.8603529542468895,5.5660992063492065,1.0552566034310589,5.409459523809525,1.0232124389661925,57.76190476190476,54.885714285714286,12642.0,13145.0
1,3,64,7,110,4096,0.0,1.0,301.4667370405245,161.99751286831076,147.0,8.932616805862068,-97.48588690476191,0.21406828286500135,-95.80944047619047,0.7320641877381697,5.597248015873015,0.997790734521348,5.402597619047619,1.2037735011201613,96.23809523809524,88.37142857142857,19289.0,19792.0
1,3,64,7,110,4096,8.5,1.0,326.843940460322,143.82954470237974,147.0,8.932616805862068,-89.93960317460316,0.8872468693810548,-88.79505476190475,0.9142807856392935,5.256436507936509,1.1689364012109693,5.217330952380952,1.0975296854734777,58.19047619047619,55.523809523809526,13146.0,13649.0
1,3,64,7,6800,128,0.0,,,,,,,,,,,,,,,,,
1,3,64,7,6800,128,8.5,0.9960159362549801,257.3820537262307,106.78000116837833,160.0,0.23067267172413794,-91.47774103585658,0.6449584156776433,-89.52939618138424,0.6394178689134847,2.3400756972111574,0.9121821472203876,3.071711217183772,0.8036558066980072,18.96414342629482,20.01909307875895,13650.0,14151.0
1,3,64,7,6800,1024,0.0,1.0,109.2222489282749,,160.0,1.1424691517241379,-97.387,,-96.779,,5.549000000000007,,4.63600000000001,,56.0,56.0,19793.0,19793.0
1,3,64,7,6800,1024,8.5,1.0,324.9739587550522,172.91040725453882,160.0,1.1424691517241379,-90.31680914512923,0.8261138125167388,-88.89504523809524,0.8933601851341917,4.836499005964215,1.1664696915623964,5.035907142857143,1.054540786595402,56.54870775347913,55.06666666666667,14152.0,14654.0
1,3,64,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,3,64,7,6800,4096,8.5,1.0,333.8107171574818,189.53187893993527,160.0,4.268628511724137,-89.61446123260437,0.7765222128181983,-88.35614558472554,0.7325664725123031,5.555332007952286,1.0346839727258177,5.587976133651551,1.0156981474344438,58.62425447316103,54.82577565632458,14655.0,15157.0
1,4,16,3,110,128,0.0,,,,,,,,,,,,,,,,,
1,4,16,3,110,128,18.0,,,,,,,,,,,,,,,,,
1,4,16,3,110,1024,0.0,,,,,,,,,,,,,,,,,
1,4,16,3,110,1024,18.0,,,,,,,,,,,,,,,,,
1,4,16,3,110,4096,0.0,,,,,,,,,,,,,,,,,
1,4,16,3,110,4096,18.0,,,,,,,,,,,,,,,,,
1,4,16,3,6800,128,0.0,,,,,,,,,,,,,,,,,
1,4,16,3,6800,128,18.0,,,,,,,,,,,,,,,,,
1,4,16,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,4,16,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
1,4,16,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
